start,low,high,open,close,volume
1756706400,4374.44,4409.04,4394.86,4401.25,1816.98373371
1756702800,4359.37,4407.07,4386.22,4394.86,3037.01273974
1756699200,4373,4412.8,4404.37,4386,4374.00098262
1756695600,4370.6,4409.11,4388.08,4404.34,3533.75185908
1756692000,4366.58,4420.22,4417.65,4388.1,5915.450205
1756688400,4384.03,4432.75,4396.74,4417.66,3787.49452343
1756684800,4360.23,4411.77,4391.9,4396.42,6252.92571085
1756681200,4378.62,4445.41,4445.26,4391.91,9500.58828519
1756677600,4433.64,4474.04,4470.45,4445.35,4003.93174401
1756674000,4450.06,4477.26,4454.69,4470.45,1296.8111597
1756670400,4445.01,4462.66,4455.99,4455.07,2194.46011108
1756666800,4454.06,4490.16,4489.36,4455.99,2751.16921539
1756663200,4473.32,4490.87,4477.4,4489.36,2306.82850407
1756659600,4468.29,4489.53,4471.57,4477.4,4270.219023
1756656000,4460.5,4487,4484.84,4471.56,2624.6899192
1756652400,4458.09,4490,4459.53,4484.97,2552.58561403
1756648800,4451,4475.31,4471.96,4459.52,2534.50013121
1756645200,4465.53,4498.95,4489.58,4471.66,5284.53866598
1756641600,4461.59,4497.74,4477.08,4489.59,4181.92913535
1756638000,4440.4,4483.17,4455.12,4477.08,3466.503547
1756634400,4448.74,4471.21,4464.49,4455.6,4661.91783374
1756630800,4460.72,4480.14,4471.55,4464.49,2077.07729641
1756627200,4450.74,4473.64,4450.74,4471.46,1192.28496489
1756623600,4433.34,4458.26,4434.58,4450.95,1059.86161579
